Task, Trainer, Model, Equivalent Evaluation, Model Prov Diff, Dataset Name, Datasource
Regression,class org.tribuo.common.tree.ExtraTreesTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:44.000111111Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:43.964632201Z"",
    ""reproduced"" : ""2021-10-08T23:15:44.231615645Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.sgd.linear.LinearSGDTrainer,org.tribuo.regression.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:44.543539359Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:44.537150147Z"",
    ""reproduced"" : ""2021-10-08T23:15:44.586405181Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.libsvm.LibSVMRegressionTrainer,org.tribuo.common.libsvm.LibSVMModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:45.596083425Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:45.590793942Z"",
    ""reproduced"" : ""2021-10-08T23:15:46.396116191Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.slm.LARSTrainer,org.tribuo.regression.slm.SparseLinearModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:46.632772746Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:46.627935078Z"",
    ""reproduced"" : ""2021-10-08T23:15:46.677844799Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.xgboost.XGBoostRegressionTrainer,org.tribuo.common.xgboost.XGBoostModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:46.901573962Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:46.891499352Z"",
    ""reproduced"" : ""2021-10-08T23:15:47.167703959Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.sgd.fm.FMRegressionTrainer,org.tribuo.regression.sgd.fm.FMRegressionModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:47.404498543Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:47.398564049Z"",
    ""reproduced"" : ""2021-10-08T23:15:47.507767636Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.common.tree.RandomForestTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:47.907469865Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:47.898502188Z"",
    ""reproduced"" : ""2021-10-08T23:15:48.167061468Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.liblinear.LibLinearRegressionTrainer,org.tribuo.common.liblinear.LibLinearModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:48.359716878Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:48.233011683Z"",
    ""reproduced"" : ""2021-10-08T23:15:48.378336919Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.rtree.CARTJointRegressionTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:48.535099260Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:48.531468666Z"",
    ""reproduced"" : ""2021-10-08T23:15:48.609482698Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.common.nearest.KNNTrainer,org.tribuo.common.nearest.KNNModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:48.622216392Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:48.618285191Z"",
    ""reproduced"" : ""2021-10-08T23:15:48.640243262Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.rtree.CARTRegressionTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:48.882765579Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:48.878392568Z"",
    ""reproduced"" : ""2021-10-08T23:15:48.955656060Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.slm.ElasticNetCDTrainer,org.tribuo.regression.slm.SparseLinearModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:48.988242878Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:48.985196758Z"",
    ""reproduced"" : ""2021-10-08T23:15:49.065681307Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.rtree.CARTRegressionTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:49.093045946Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:49.089766204Z"",
    ""reproduced"" : ""2021-10-08T23:15:49.124655489Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.rtree.CARTRegressionTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:43.371878660Z"",
          ""reproduced"" : ""2021-10-08T23:15:49.165577505Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:49.162442664Z"",
    ""reproduced"" : ""2021-10-08T23:15:49.225245355Z""
  }
}",Wine Quality,CSV
Classification,class org.tribuo.classification.mnb.MultinomialNaiveBayesTrainer,org.tribuo.classification.mnb.MultinomialNaiveBayesModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:49.495400702Z"",
          ""reproduced"" : ""2021-10-08T23:15:49.856422691Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:49.850046008Z"",
    ""reproduced"" : ""2021-10-08T23:15:49.860624249Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.libsvm.LibSVMClassificationTrainer,org.tribuo.common.libsvm.LibSVMModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:49.495400702Z"",
          ""reproduced"" : ""2021-10-08T23:15:49.934724158Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:49.931061517Z"",
    ""reproduced"" : ""2021-10-08T23:15:49.970098523Z""
  }
}",Irises,CSV
