Model, EqualEval, Diff, Dataset Name, Datasource, Note
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:46.806824119Z"",
          ""reproduced"" : ""2021-10-08T23:15:47.322210821Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:47.086660434Z"",
    ""reproduced"" : ""2021-10-08T23:15:47.352368231Z""
  }
}",Irises,CSV*,
org.tribuo.regression.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:48.520355412Z"",
          ""reproduced"" : ""2021-10-08T23:15:49.056149144Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:49.040315908Z"",
    ""reproduced"" : ""2021-10-08T23:15:49.124350918Z""
  }
}",Wine Quality,CSV*,LinearDecaySGD
org.tribuo.regression.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:48.520355412Z"",
          ""reproduced"" : ""2021-10-08T23:15:49.223259089Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:49.216544575Z"",
    ""reproduced"" : ""2021-10-08T23:15:49.279116991Z""
  }
}",Wine Quality,CSV*,AdaGrad
org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:15:48.520355412Z"",
          ""reproduced"" : ""2021-10-08T23:15:49.409283416Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:49.403755833Z"",
    ""reproduced"" : ""2021-10-08T23:15:49.503251233Z""
  }
}",Wine Quality,CSV*,
org.tribuo.transform.TransformedModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:16:03.202858522Z"",
          ""reproduced"" : ""2021-10-08T23:16:23.342374254Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:16:15.213149345Z"",
    ""reproduced"" : ""2021-10-08T23:16:34.787676526Z""
  }
}",MNIST,IDX,
org.tribuo.transform.TransformedModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource"" : {
        ""source"" : {
          ""datasource-creation-time"" : {
            ""original"" : ""2021-10-08T23:16:43.892853770Z"",
            ""reproduced"" : ""2021-10-08T23:16:59.200698859Z""
          }
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:16:52.407708155Z"",
    ""reproduced"" : ""2021-10-08T23:17:05.997589472Z""
  }
}",MNIST,IDX,With TrainTestSplitter
org.tribuo.clustering.kmeans.KMeansModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:17:09.129532179Z"",
    ""reproduced"" : ""2021-10-08T23:17:09.168702387Z""
  }
}",Generated,Generator,
org.tribuo.clustering.kmeans.KMeansModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:17:09.370500912Z"",
    ""reproduced"" : ""2021-10-08T23:17:09.405557491Z""
  }
}",Generated,Generator,KMeans++
org.tribuo.common.libsvm.LibSVMModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:17:12.425512981Z"",
    ""reproduced"" : ""2021-10-08T23:17:12.561796192Z""
  }
}",Generated,Generator,
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:17:16.185807961Z"",
          ""reproduced"" : ""2021-10-08T23:17:16.430977631Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:17:16.337243724Z"",
    ""reproduced"" : ""2021-10-08T23:17:16.434401113Z""
  }
}",Generated,CSV,CSV Columnar with TrainTest
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-08T23:17:16.175626810Z"",
          ""reproduced"" : ""2021-10-08T23:17:16.459211358Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:17:16.362467638Z"",
    ""reproduced"" : ""2021-10-08T23:17:16.463969377Z""
  }
}",Generated,JSON,JSON Columnar with TrainTest
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-08T23:17:19.848724166Z"",
        ""reproduced"" : ""2021-10-08T23:17:33.028216253Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:17:32.987747165Z"",
    ""reproduced"" : ""2021-10-08T23:17:43.529661595Z""
  }
}",20 News,Directory of files,BoW Simple Logistic
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-08T23:17:44.513013170Z"",
        ""reproduced"" : ""2021-10-08T23:17:57.166116877Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:17:57.077308020Z"",
    ""reproduced"" : ""2021-10-08T23:18:07.516990769Z""
  }
}",20 News,Directory of files,Unigram Logistic
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-08T23:18:08.482491447Z"",
        ""reproduced"" : ""2021-10-08T23:18:57.572871345Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:18:57.537356079Z"",
    ""reproduced"" : ""2021-10-08T23:19:37.576547294Z""
  }
}",20 News,Directory of files,Bigram Logistic

