Task, Trainer, Model, Equivalent Evaluation, Model Prov Diff, Dataset Name, Datasource
Regression,class org.tribuo.common.tree.ExtraTreesTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:31.235709623Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:31.210096425Z"",
    ""reproduced"" : ""2021-10-07T22:46:31.482439231Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.sgd.linear.LinearSGDTrainer,org.tribuo.regression.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:31.755266166Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:31.748681626Z"",
    ""reproduced"" : ""2021-10-07T22:46:31.824877340Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.libsvm.LibSVMRegressionTrainer,org.tribuo.common.libsvm.LibSVMModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:32.820706394Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:32.815318634Z"",
    ""reproduced"" : ""2021-10-07T22:46:33.663901535Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.slm.LARSTrainer,org.tribuo.regression.slm.SparseLinearModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:33.782327312Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:33.776424895Z"",
    ""reproduced"" : ""2021-10-07T22:46:33.819357795Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.xgboost.XGBoostRegressionTrainer,org.tribuo.common.xgboost.XGBoostModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:33.910844124Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:33.907006073Z"",
    ""reproduced"" : ""2021-10-07T22:46:33.951016112Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.sgd.fm.FMRegressionTrainer,org.tribuo.regression.sgd.fm.FMRegressionModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:34.080925680Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:34.076821394Z"",
    ""reproduced"" : ""2021-10-07T22:46:34.162065432Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.common.tree.RandomForestTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:34.403098088Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:34.393200906Z"",
    ""reproduced"" : ""2021-10-07T22:46:34.631466100Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.liblinear.LibLinearRegressionTrainer,org.tribuo.common.liblinear.LibLinearModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:34.745385210Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:34.643077802Z"",
    ""reproduced"" : ""2021-10-07T22:46:34.755735656Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.rtree.CARTJointRegressionTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:34.862388057Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:34.859186392Z"",
    ""reproduced"" : ""2021-10-07T22:46:34.917176904Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.common.nearest.KNNTrainer,org.tribuo.common.nearest.KNNModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:34.923635921Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:34.921159026Z"",
    ""reproduced"" : ""2021-10-07T22:46:34.932993738Z""
  }
}",Wine Quality,CSV
