Model, EqualEval, Diff, Dataset Name, Datasource, Note
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-09-30T22:40:36.359273295Z"",
          ""reproduced"" : ""2021-09-30T22:40:36.630862032Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:40:36.515986830Z"",
    ""reproduced"" : ""2021-09-30T22:40:36.642345290Z""
  }
}",Irises,CSV*,
org.tribuo.regression.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-09-30T22:40:37.356763017Z"",
          ""reproduced"" : ""2021-09-30T22:40:37.656076869Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:40:37.651916476Z"",
    ""reproduced"" : ""2021-09-30T22:40:37.708085038Z""
  }
}",Wine Quality,CSV*,LinearDecaySGD
org.tribuo.regression.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-09-30T22:40:37.356763017Z"",
          ""reproduced"" : ""2021-09-30T22:40:37.757798651Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:40:37.753825308Z"",
    ""reproduced"" : ""2021-09-30T22:40:37.809508539Z""
  }
}",Wine Quality,CSV*,AdaGrad
org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-09-30T22:40:37.356763017Z"",
          ""reproduced"" : ""2021-09-30T22:40:37.904280367Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:40:37.900828790Z"",
    ""reproduced"" : ""2021-09-30T22:40:37.955436426Z""
  }
}",Wine Quality,CSV*,
org.tribuo.transform.TransformedModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-09-30T22:40:48.126275830Z"",
          ""reproduced"" : ""2021-09-30T22:41:05.199753241Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:40:58.101151880Z"",
    ""reproduced"" : ""2021-09-30T22:41:14.474568072Z""
  }
}",MNIST,IDX,
org.tribuo.transform.TransformedModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource"" : {
        ""source"" : {
          ""datasource-creation-time"" : {
            ""original"" : ""2021-09-30T22:41:22.122783794Z"",
            ""reproduced"" : ""2021-09-30T22:41:36.677480304Z""
          }
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:41:29.576947057Z"",
    ""reproduced"" : ""2021-09-30T22:41:43.759491410Z""
  }
}",MNIST,IDX,With TrainTestSplitter
org.tribuo.clustering.kmeans.KMeansModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:41:47.031370374Z"",
    ""reproduced"" : ""2021-09-30T22:41:47.079355842Z""
  }
}",Generated,Generator,
org.tribuo.clustering.kmeans.KMeansModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:41:47.293200256Z"",
    ""reproduced"" : ""2021-09-30T22:41:47.335025785Z""
  }
}",Generated,Generator,KMeans++
org.tribuo.common.libsvm.LibSVMModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:41:50.691863105Z"",
    ""reproduced"" : ""2021-09-30T22:41:50.824216545Z""
  }
}",Generated,Generator,
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-09-30T22:41:54.674837351Z"",
          ""reproduced"" : ""2021-09-30T22:41:54.939392728Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-09-30T22:41:54.829588258Z"",
    ""reproduced"" : ""2021-09-30T22:41:54.943743662Z""
  }
}",Generated,CSV,CSV Columnar with TrainTest
