Model, EqualEval, Diff, Dataset Name, Datasource, Note
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:45:31.949543747Z"",
          ""reproduced"" : ""2021-10-07T22:45:32.212190359Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:45:32.094710336Z"",
    ""reproduced"" : ""2021-10-07T22:45:32.221932856Z""
  }
}",Irises,CSV*,
org.tribuo.regression.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:45:32.950915769Z"",
          ""reproduced"" : ""2021-10-07T22:45:33.228468047Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:45:33.223458540Z"",
    ""reproduced"" : ""2021-10-07T22:45:33.283184890Z""
  }
}",Wine Quality,CSV*,LinearDecaySGD
org.tribuo.regression.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:45:32.950915769Z"",
          ""reproduced"" : ""2021-10-07T22:45:33.342460796Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:45:33.337915668Z"",
    ""reproduced"" : ""2021-10-07T22:45:33.382146453Z""
  }
}",Wine Quality,CSV*,AdaGrad
org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:45:32.950915769Z"",
          ""reproduced"" : ""2021-10-07T22:45:33.480222983Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:45:33.476807477Z"",
    ""reproduced"" : ""2021-10-07T22:45:33.536763610Z""
  }
}",Wine Quality,CSV*,
org.tribuo.transform.TransformedModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:45:43.427813330Z"",
          ""reproduced"" : ""2021-10-07T22:45:59.419852452Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:45:52.994140554Z"",
    ""reproduced"" : ""2021-10-07T22:46:08.987793902Z""
  }
}",MNIST,IDX,
org.tribuo.transform.TransformedModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource"" : {
        ""source"" : {
          ""datasource-creation-time"" : {
            ""original"" : ""2021-10-07T22:46:17.166878123Z"",
            ""reproduced"" : ""2021-10-07T22:46:35.799800246Z""
          }
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:26.222240430Z"",
    ""reproduced"" : ""2021-10-07T22:46:44.401787487Z""
  }
}",MNIST,IDX,With TrainTestSplitter
org.tribuo.clustering.kmeans.KMeansModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:48.161790133Z"",
    ""reproduced"" : ""2021-10-07T22:46:48.205975227Z""
  }
}",Generated,Generator,
org.tribuo.clustering.kmeans.KMeansModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:48.389022168Z"",
    ""reproduced"" : ""2021-10-07T22:46:48.433192664Z""
  }
}",Generated,Generator,KMeans++
org.tribuo.common.libsvm.LibSVMModel,true,"{
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:52.023161499Z"",
    ""reproduced"" : ""2021-10-07T22:46:52.118876962Z""
  }
}",Generated,Generator,
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:56.284653412Z"",
          ""reproduced"" : ""2021-10-07T22:46:56.536791031Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:56.444078979Z"",
    ""reproduced"" : ""2021-10-07T22:46:56.540558515Z""
  }
}",Generated,CSV,CSV Columnar with TrainTest
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:56.274543783Z"",
          ""reproduced"" : ""2021-10-07T22:46:56.576859165Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:56.467183801Z"",
    ""reproduced"" : ""2021-10-07T22:46:56.581353726Z""
  }
}",Generated,JSON,JSON Columnar with TrainTest
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-07T22:47:00.624948744Z"",
        ""reproduced"" : ""2021-10-07T22:47:17.098102923Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:47:17.052735632Z"",
    ""reproduced"" : ""2021-10-07T22:47:29.935477057Z""
  }
}",20 News,Directory of files,BoW Simple Logistic
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-07T22:47:30.987334529Z"",
        ""reproduced"" : ""2021-10-07T22:47:44.966663813Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:47:44.888836275Z"",
    ""reproduced"" : ""2021-10-07T22:47:56.352380573Z""
  }
}",20 News,Directory of files,Unigram Logistic
org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-07T22:47:57.314109927Z"",
        ""reproduced"" : ""2021-10-07T22:48:47.086104622Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:48:47.044856454Z"",
    ""reproduced"" : ""2021-10-07T22:49:30.772775552Z""
  }
}",20 News,Directory of files,Bigram Logistic

